ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
55,아렌시아,[2월 올영픽] 아렌시아 떡솝 프레시 그린 클렌저 120g 기획 (+로즈힙 클렌저 15g),"23,000","19,100",클렌징,클렌징폼/젤,클렌징폼/젤,"(3,004건)",4.7
56,마몽드,[최초 혜택_2월 올영픽] 마몽드 어메이징 딥 민트 클렌징밤 90ml 톰과 제리 에디션 (+헤어고정시트 증정),"27,000","15,900",클렌징,오일/밤,클렌징밤,"(1,311건)",4.8
57,비건이펙트,[피지고민/모공청소] 비건이펙트 그린 청보리 라하 딥 클렌징 오일 205ml(+폼 30ml),"24,900","21,600",클렌징,오일/밤,클렌징오일,"(1,360건)",4.9
58,센카,[2월 올영픽] 센카 퍼펙트 휩 아크네 케어 BT21 콜라보 100g,"9,800","6,800",클렌징,클렌징폼/젤,클렌징폼/젤,"(2,227건)",4.8
59,듀이트리,[더블기획/속보습개선]듀이트리 하이 아미노 올 클렌징 밀크 200ml (기획/단품),"28,500","19,900",클렌징,워터/밀크,클렌징밀크/크림,"(1,013건)",4.7
60,에스트라,에스트라 테라크네365 클리어 딥 클렌징 폼 200g,"23,000","19,500",클렌징,클렌징폼/젤,클렌징폼/젤,"(2,840건)",4.8
61,라운드랩,[저자극/약산성] 라운드랩 1025 독도 클렌저 200ml+200ml,"28,000","23,500",클렌징,클렌징폼/젤,클렌징폼/젤,(965건),4.8
62,바이오더마,바이오더마 센시비오 미셀라 클렌징 오일 150ml,"32,000","21,850",클렌징,오일/밤,클렌징오일,"(1,562건)",4.7
63,닥터지,[증정/약산성] 닥터지 약산성 레드 블레미쉬 클리어 수딩 폼 기획2종 택 1(150ml+75ml/150ml+150ml),"20,000","15,000",클렌징,클렌징폼/젤,클렌징폼/젤,"(9,489건)",4.8
64,메이크프렘,메이크프렘 세이프 미 릴리프 모이스처 클렌징오일 리필기획 (210ml+100ml 증정),"28,000","21,000",클렌징,오일/밤,클렌징오일,"(5,332건)",4.8
65,바이오더마,바이오더마 센시비오 H2O eye 125ml (립앤아이리무버),"18,000","14,400",클렌징,립&아이리무버,립&아이리무버,"(1,552건)",4.8
66,아리얼,아리얼 더 퍼펙트 클렌징 티슈 플러스 더블기획 (100매x2개입),"19,800","12,200",클렌징,티슈/패드,클렌징티슈/패드,"(3,861건)",4.8
67,비페스타,비페스타 미셀라 립앤아이 메이크업 리무버 더블기획(145ml+145ml),"22,000","11,900",클렌징,립&아이리무버,립&아이리무버,"(1,225건)",4.9
68,티스,티스 딥오프 오일 320mL 더블기획,"34,000","25,500",클렌징,오일/밤,클렌징오일,"(1,756건)",4.8
69,맥스클리닉,맥스클리닉 포어리스 딥 클렌징 오일 200ml,"24,000","19,200",클렌징,오일/밤,클렌징오일,(88건),5.0
70,메디필,[트러블/약산성] 메디필 그린 시카 콜라겐 클리어 폼 2.0 기획,"24,000",,클렌징,클렌징폼/젤,클렌징폼/젤,"(4,832건)",4.8
71,휩드,[저자극 스크럽] 휩드 비건 팩스크럽 210g (3종 중 택1),"30,000","23,900",클렌징,필링&스크럽,페이셜스크럽,(288건),4.8
72,식물나라,식물나라 제주탄산수퀵앤딥클렌징티슈 100매,"8,800","5,500",클렌징,티슈/패드,클렌징티슈/패드,"(19,562건)",4.7
73,한스킨,한스킨 클렌징오일&블랙헤드 PHA 400ml 대용량,"35,000","22,800",클렌징,오일/밤,클렌징오일,"(4,480건)",5.0
74,닥터지,[저자극] 닥터지 약산성 클렌징 젤 폼 200ml 기획 2종 택 1 (200ml+100ml / 200ml+200ml),"25,000","17,500",클렌징,클렌징폼/젤,클렌징폼/젤,"(10,189건)",4.7
75,라운드어라운드,[리뉴얼]라운드어라운드 컴포트 그린티 트러블 버블폼 200ml 단품/리필기획,"16,000","12,800",클렌징,클렌징폼/젤,클렌징폼/젤,"(1,350건)",4.8
76,런드리유,[모공브러쉬 증정/단독기획] 런드리유 클린 페이스 가글 스트롱 젤 투 폼 클렌저 기획세트(+여행용*2ea),"22,000",,클렌징,클렌징폼/젤,클렌징폼/젤,"(11,351건)",4.9
77,센카,[7일 특가] 센카 올 클리어 오일 230ml,"18,900","11,500",클렌징,오일/밤,클렌징오일,"(1,130건)",4.8
78,스킨시그널,스킨시그널 클레이 효소클렌저 3종 택1,"25,000","20,000",클렌징,필링&스크럽,파우더워시,"(2,338건)",4.9
79,일소,[2024 어워즈] 일소 슈퍼 멜팅 세범 소프트너 150ml 한정기획 (+솜40매+쿨링마사지기),"28,900",,클렌징,필링&스크럽,피지클리너,"(13,429건)",4.7
80,브링그린,[NEW] 브링그린 티트리시카딥클렌징폼 120mL,"10,900",,클렌징,클렌징폼/젤,클렌징폼/젤,(149건),4.8
81,식물나라,[1+1기획]식물나라 제주 탄산수 딥 모공 클렌징폼 150mL(단품 / 1+1기획),"12,800","10,800",클렌징,클렌징폼/젤,클렌징폼/젤,"(12,564건)",4.8
82,한스킨,[증정기획] 한스킨 클렌징오일&블랙헤드(300ml+30ml),"28,000","19,500",클렌징,오일/밤,클렌징오일,"(1,956건)",4.8
83,식물나라,[1+1기획]식물나라 제주 탄산수 휩 파워 클렌징폼 150m(단품/1+1기획),"12,800","10,800",클렌징,클렌징폼/젤,클렌징폼/젤,"(4,091건)",4.8
84,닥터지,[모공세정] 닥터지 그린딥 포어 클렌징밤 100ml,"24,000","15,000",클렌징,오일/밤,클렌징밤,"(1,240건)",4.8
85,아리얼,아리얼 스트레스 릴리빙 립앤아이 리무버 패드 더블기획 (30매+30매),"7,800","5,800",클렌징,립&아이리무버,립&아이리무버,"(4,980건)",4.9
86,비페스타,비페스타 클렌징오일 브라이트닝 230ml (각질&블랙헤드 제거),"16,000","9,900",클렌징,오일/밤,클렌징오일,"(4,427건)",4.7
87,파티온,파티온 노스카나인 클렌징워터 500ml,"18,000","9,900",클렌징,워터/밀크,클렌징워터,"(3,475건)",4.8
88,이즈앤트리,[단독기획] 이즈앤트리 참마 비건 밀크 클렌저 220ml 리필 기획 (+리필100ml),"25,000",,클렌징,워터/밀크,클렌징밀크/크림,"(4,262건)",4.8
89,히야 (HYAAH),[호호뷰티pick] 히야 마일드벗딥 클렌징 워터 300ml 기획 (+클렌징 패드 30매),"30,000","25,000",클렌징,워터/밀크,클렌징워터,"(1,573건)",4.9
90,마녀공장,[더블기획] 마녀공장 딥 클리어 클렌징밤 132ml X2 기획,"47,000","24,900",클렌징,오일/밤,클렌징밤,"(3,632건)",4.7
91,아벤느,아벤느 클리낭스 클렌징 젤 400ml 더블 기획*피지잡는 *약산성클렌저,"45,000","37,900",클렌징,클렌징폼/젤,클렌징폼/젤,"(12,064건)",4.7
92,그레이멜린,그레이멜린 카놀라크레이지 클렌징오일 더블 기획,"18,000",,클렌징,오일/밤,클렌징오일,"(3,268건)",4.8
93,일리윤,[여행용/단독증정] 일리윤 세라마이드 더마6.0 클렌징워터폼 기획(250+30ML) 외 단품,"21,000","16,800",클렌징,클렌징폼/젤,클렌징폼/젤,"(2,769건)",4.8
94,스킨1004,스킨1004 마다가스카르 센텔라 앰플 폼 125ml,"14,000","11,200",클렌징,클렌징폼/젤,클렌징폼/젤,(858건),4.9
95,비플레인,[각질제거] 비플레인 녹두 밀크 필링 젤 120ml+40ml 기획,"22,000","17,600",클렌징,필링&스크럽,페이셜스크럽,"(1,575건)",4.7
96,라씨엘르,[단독증량기획] 라씨엘르 엔자임 곡물 클렌징 파우더워시 기획 (본품60g + 10g 추가 증정),"24,000","16,800",클렌징,필링&스크럽,파우더워시,"(5,341건)",4.8
97,라운드랩,[최혜선 PICK] 라운드랩 자작나무 수분 클렌저 150ml 기획 (+크림 20ml),"15,000","12,900",클렌징,클렌징폼/젤,클렌징폼/젤,"(3,277건)",4.7
98,셀리맥스,셀리맥스 수정화장 패드 30매,"16,000","12,800",클렌징,티슈/패드,클렌징티슈/패드,"(2,421건)",4.8
99,닥터자르트,닥터자르트 더마클리어 피에이치 폼 클렌저 120ml,"22,000",,클렌징,클렌징폼/젤,클렌징폼/젤,(18건),4.8
100,아크네스,[말끔촉촉/저자극] 아크네스 포하 딥 클렌징오일 200ml 기획 (+30ml 증정),"20,000","16,000",클렌징,오일/밤,클렌징오일,(102건),5.0
