플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,넘버즈인,넘버즈인 3번 도자기결 파데스킵 톤업베이지 50ml (SPF50+ PA++++),73,선케어,선크림,선크림,4.6,5552,26000,18200.0
올리브영,닥터자르트,닥터자르트 에브리선데이 모이스처라이징 선 30ml,74,선케어,선크림,선크림,4.6,337,22000,13200.0
올리브영,라운드어라운드,라운드어라운드 컴포트 그린티 에어 선스틱 더블기획,75,선케어,선스틱,선스틱,4.8,886,36000,18000.0
올리브영,라운드랩, 라운드랩 자작나무 무기자차 선크림 50ml 기획 (+클렌저20ml),76,선케어,선크림,선크림,4.7,3804,25000,17500.0
올리브영,마녀공장,마녀공장 파데프리 선크림 50ml SPF50+ PA++++,77,선케어,선크림,선크림,4.8,1398,28000,16900.0
올리브영,이니스프리,이니스프리 그린티 히알루론산 수분 선세럼 50ml 1+1 기획,78,선케어,선크림,선크림,4.8,2570,28000,25760.0
올리브영,메이크프렘, 메이크프렘 수딩 핑크 톤업 선크림 40ml+40ml,79,선케어,선크림,선크림,4.8,3000,30000,25500.0
올리브영,토리든, 토리든 다이브인 무기자차 마일드 선크림 60ml 기획 (+20ml 추가 증정),80,선케어,선크림,선크림,4.7,1965,25000,
올리브영,오드로이,오드로이 모공축소 톤업 선크림 블리미 필리디 50ml,81,선케어,선크림,선크림,4.8,190,18900,16070.0
올리브영,라운드랩, 라운드랩 자작나무 수분 선스틱 19g+19g,82,선케어,선스틱,선스틱,4.8,2678,29000,24900.0
올리브영,달바, 달바 퍼플 톤업 선크림 듀오 기획 (50ml+50ml),83,선케어,선크림,선크림,4.7,2076,51000,
올리브영,듀이트리, 듀이트리 어반쉐이드 커버 앤 핏 선쿠션 14g,84,선케어,선쿠션,선쿠션,4.5,563,24000,15600.0
올리브영,유이크,유이크 바이옴 레미디 퍼펙트 보송 선스틱 18g,85,선케어,선스틱,선스틱,5.0,9,24000,
올리브영,라타플랑, 라타플랑 미나리 진정 선크림 50ml 1+1 기획(50ml+50ml),86,선케어,선크림,선크림,4.9,1297,25000,23900.0
