ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
90,클리오,"[2024어워즈][5년연속수상]클리오 킬 커버 파운웨어 쿠션 디 오리지널 한정기획 (+리필, 톤업 프라이머 증정)","36,000",,메이크업,베이스메이크업,쿠션,"(4,870건)",4.5
91,비디비치,[품절대란/단독기획] 비디비치 롱웨어 스킨 핏 쿠션 리필 기획 (+스킨일루미네이션10ml 증정) 3종 택1,"56,000","44,800",메이크업,베이스메이크업,쿠션,(296건),4.8
92,힌스,[2024 어워즈] 힌스 메쉬 매트 쿠션 어워즈 한정 기획(본품+리필+미니컨실러),"34,000",,메이크업,베이스메이크업,쿠션,"(7,854건)",4.6
93,데이지크,[NEW/리뷰이벤트] 데이지크 핑크 블라썸 섀도우 팔레트 2종 중 택1,"32,000","22,990",메이크업,아이메이크업,아이섀도우,(17건),5.0
94,페리페라,페리페라 맑게 물든 선샤인 치크,"8,000",,메이크업,베이스메이크업,블러셔,"(25,916건)",4.8
95,더샘,[대용량 기획] 더샘 커버 퍼펙션 팁컨실러 9.5g 6colors,"7,700","6,930",메이크업,베이스메이크업,컨실러,"(15,210건)",4.7
96,롬앤,롬앤 듀이풀 워터 틴트,"13,000","11,050",메이크업,립메이크업,립틴트,"(36,721건)",4.7
97,롬앤,롬앤 한올 샤프 브로우,"12,000","9,600",메이크업,아이메이크업,아이브로우,"(14,002건)",4.7
98,키스미,[1+1 한정기획/단품] 키스미 마스카라 EX 1+1 한정기획 (롱/볼륨) (기획/단품),"18,000","17,800",메이크업,아이메이크업,마스카라,"(16,530건)",4.7
99,클리오,[NEW 애플시리즈X한솔실장 공동개발] 클리오 크리스탈 글램 틴트,"18,000",,메이크업,립메이크업,립틴트,"(21,536건)",4.7
100,토니모리,[NEW/선런칭] 토니모리 치크톤 립앤치크 듀오밤 12종,"20,000","18,000",메이크업,베이스메이크업,블러셔,"(1,101건)",4.9
