랭킹,브랜드,상품명,정가,할인가
33,닥터지,[1등크림/100ml대용량]닥터지 레드 블레미쉬 클리어 수딩 크림 기획세트 (100ml/150ml구성),"38,000","23,700"
34,라네즈,[2월 올영픽] 라네즈 크림스킨 170ml 리필기획 (+170ml 리필+미스트펌프 증정),"33,000","29,500"
35,마몽드,[최초 더블 기획_2월 올영픽] 마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 톰과 제리 에디션 (+스마트톡 증정),"37,000","14,350"
36,토리든,토리든 다이브인 저분자 히알루론산 마스크 10매,"30,000","16,150"
37,얼터너티브스테레오,[NEW 컬러 출시] 얼터너티브스테레오 립 포션 슈가 글레이즈 틴트,"19,000","17,900"
38,일소,[2월올영픽/270만개판매] 일소 슈퍼 멜팅 세범 소프트너 150ml 기획 (+솜 40매 증정),"21,000","16,000"
39,에뛰드,[2월올영픽_포카증정 /NEW기획] 에뛰드 그림자 쉐딩 브라이트너+멀티 브러쉬 증정 기획 웜&쿨,"20,000","11,700"
40,센카,[2월 올영픽/ 7일 특가]센카 퍼펙트 휩 페이셜 워시 120g BT21 콜라보 더블 기획 (+15g),"17,600","30,900"
41,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 비글로우 파운데이션 30g 10 colors + 브러쉬 + 미니쿠션 공용기,"42,000","25,900"
42,아누아,[화해1위] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 기획 (+1ml*5ea),"39,000","38,800"
43,릴리이브,릴리이브 그로우턴 앰플 100ml 기획 (+100ml 리필 증정),"39,800","28,860"
44,비욘드,[1분에9개판매/살냄새향] 비욘드 클래식 핸드크림 30ml 7종 택1,"5,000","17,500"
45,저스트에즈아이엠,[파우치 증정] 아이엠 샴푸 인텐시브 스칼프 케어 (480ml/700ml),"37,000","22,300"
46,비디비치,[올영단독컬러/NEW] 비디비치 글로우 크림 블러시 7종 택1,"32,000","21,900"
47,구달,[1+1기획] 구달 맑은 어성초 진정 수분 선크림 50ml 1+1기획,"20,000","39,900"
48,바이오더마,[2월 올영픽]바이오더마 센시비오 H2O 850ml 기획 (+K2 콜라보 폴딩 에코백),"37,500","30,000"
49,센텔리안24,센텔리안24 마데카 크림 타임 리버스 단독 기획(15ml*2개+마스크팩3매),"38,000","28,900"
50,에스트라,[2월올영픽]에스트라 아토베리어365 로션 150ml 리필 기획 (+150ML 리필 파우치 + 에이시카 세럼 3ML),"53,400","26,900"
51,연작,[선베이스 증정] 연작 스킨 퍼펙팅 프로텍티브 베이스프렙 40ml,"45,000","19,600"
52,오프라 코스메틱,[NEW컬러] 오프라 코스메틱 미니 하이라이터 9종,"33,000","4,500"
오특,바이오더마,[2월 올영픽]바이오더마 시카비오 포마드 100ml(리페어 리치 밤),"38,000","27,900"
,에스쁘아,[2월 올영픽/단독선런칭] 에스쁘아 아이 코어 팔레트 9g + 브러쉬 증정,"36,000","31,900"
54,에르보리앙,에르보리앙 CC 레드 코렉트 15ml/45ml,"42,000","14,800"
55,비건이펙트,"[수분폭탄/말끔순삭]비건이펙트 그린 청보리 라하 젤클렌저 205ml 트롤콜라보기획 (+토너패드 4매,하트키링)","22,000","21,700"
56,에뛰드,[2월 올영픽/포카 증정] [미러키링 증정] 에뛰드 왓츠 인 마이 아이즈 24 colors,"6,000","28,900"
57,파티온,[아랑 PICK] 파티온 노스카나인 트러블 세럼 기획 (50ml+15ml),"38,000","26,900"
58,피지오겔,[한정기획] 피지오겔 DMT 페이셜 수분크림 150ml + 75ml 증정,"55,000","23,370"
59,바닐라코,[1등 클렌징밤] 바닐라코 클린잇제로 오리지널 클렌징밤 100ml 기획 (+미니어처키트 7ml*4개입),"20,000","36,900"
60,스킨푸드,[NEW/단독기획] 스킨푸드 캐롯 카로틴 카밍 워터 패드 기획(60매+30매 증정),"32,000","29,900"
61,메디큐브,[대용량/모공각질] 메디큐브 제로모공패드 2.0 140매 기획 (70매 + 70매 리필),"33,000","29,400"
62,차앤박,[2월 올영픽/재유PICK] 차앤박 더마앤서 액티브 부스트 PDRN앰플 30ml 기획 (+15ml 증정),"39,000","19,900"
63,마이노멀,마이노멀 저당 아몬드초코볼 4종 택1 (다크/밀크헤이즐넛/말차/민트),"2,500","30,000"
64,바이오가,[대용량] 바이오가 바이오틴 손상모발개선 탈모완화 샴푸 1000ml,"27,500","35,700"
65,이지듀,[한가인PICK/기미커버개선] 이지듀 기미 앰플 쿠션 15g,"39,800","25,270"
66,바이오던스,[2024 어워즈] 바이오던스 바이오 콜라겐 리얼 딥 마스크 7매,"35,000","17,900"
67,토리든,토리든 다이브인 수딩 크림 더블 기획세트(100ml+100ml),"42,000","18,600"
68,헤라,헤라 센슈얼 누드 글로스 5g,"40,000","8,500"
69,오브먼트,오브먼트 이너메이트 워시 2종 택 1 (데일리 150ml/스페셜 100ml),"24,000","174,000"
70,바이오더마,[2월 올영픽]바이오더마 아토덤 울트라 크림 500ml+200ml 기획 (+K2 콜라보 복조리 지퍼 포켓백),"42,000","33,900"
71,달바,[물광자차/핑크광채썬] 달바 핑크 톤업 선크림 듀오 기획 (50ml+50ml),"51,000","19,500"
72,바이오더마,[2월 올영픽]바이오더마 하이드라비오 토너 500ml 기획 (+K2 콜라보 파우치),"38,000","29,800"
73,풀리,풀리 비건 그린 토마토 클레이 팩 클렌저 120ml,"24,000","19,900"
74,비플레인,[한정수량] 비플레인 녹두 약산성 클렌징폼 160ml + 40ml 기획,"21,900","22,000"
75,컬러그램,[립펜슬기획] 컬러그램 누디 블러 틴트 13 COLOR (기획/단품),"10,000","22,950"
76,반코르,[고주파 뷰티디바이스] 반코르 리리힐 고주파 마사지기 한정기획(+기미&잡티케어 라디아타 세럼 증정),"199,000","23,800"
77,바이오더마,[2월 올영픽/40ml 본품증정]바이오더마 시카비오 크림+ 100ml 기획 (+40ml 증정),"43,000","19,100"
78,에뛰드,[2월올영픽_포카증정/선크림50ml선착순] NEW 에뛰드 클라우드 필터쿠션리필 + 퍼프 2매 기획 세트,"26,000","25,900"
